,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,L재무구조,L성장성,L지배구조,L환경,L사회,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
3860,2021,HD현대중공업,329180,0,B+,83113,-8003,-8003,-8142,-8142,0,94846,55940,55940,0,4439,169.55,1160.3,-9.62905923261102,-9.8,-5.64,-14.87,-10672,63015,0,1.51,88773,0.0,1,0.0,-93,0.0,0.0,7,4,0.571428571428571,0,101,0,0.0,0,0,12079,458,12231,580,12811,4.527359301,95.4726407,0.987572562,0.789655172,1483758,1.67,8451200643200,88773116,1,1,4,0,0,0,0.370986888790148,4,0,0.0,15,3,15,6,7,B+,B+,A,C,A,운수장비
3861,2022,HD현대중공업,329180,B+,A,90455,-2892,-2892,-3521,-3521,0,110016,52878,52878,0,4439,208.06,1091.31,-3.19716986346802,-3.89,-2.24,-6.47,-3966,59566,0,1.95,88773,0.0,1,8.83375645205924,5111,0.0,6.431889369143,5,3,0.6,0,110,2,1.81818181818182,0,0,11819,468,12179,586,12765,4.590677634,95.40932237,0.970440923,0.798634812,5603917,6.31,10297681456000,88773116,1,1,4,0,0,0,0.324616007956094,4,0,0.0,15,10,16,6,7,B+,B+,A,B+,A,운수장비
3862,2023,HD현대중공업,329180,A,A,119639,1786,1786,247,247,0,119262,52074,52074,0,4439,229.02,1073.2,1.49282424627421,0.21,0.15,0.47,278,58660,0,2.2,88773,0.0,0,32.2635564645404,4678,0.0,4.68999410974223,5,3,0.6,0,121,2,1.65289256198347,0,0,11559,502,12666,611,13277,4.60194321,95.39805679,0.912600663,0.821603928,6544518,7.37,11451731964000,88773116,5,5,5,0,0,0,0.303929121725732,5,0,0.0,16,10,17,15,7,B+,B,A+,B+,A+,운수장비
3863,2020,두산퓨얼셀,336260,0,B+,4618,260,260,142,142,0,2776,5125,5125,0,82,54.17,6162.78,5.63014291901256,3.07,2.21,4.18,187,6263,0,8.54,65494,0.0,1,0.0,-93,0.0,0.0,5,3,0.6,0,8,0,0.0,61000000,47000000,341,49,359,49,408,12.00980392,87.99019608,0.949860724,1.0,9274702,14.16,3503914341000,65493726,5,5,5,0,0,0,0.648569982282966,2,0,0.0,11,3,11,15,5,C,B,B+,C,B+,전기전자
3864,2021,두산퓨얼셀,336260,0,B+,3814,180,180,87,87,0,1807,5182,5182,0,82,34.87,6231.74,4.71945464079706,2.28,1.17,1.69,106,6332,0,7.58,65494,0.0,1,-17.4101342572542,-80,0.0,-0.910688278215496,6,4,0.666666666666667,0,12,0,0.0,72000000,61000000,411,55,425,56,481,11.64241164,88.35758836,0.967058824,0.982142857,9687424,14.79,3143698848000,65493726,5,5,5,0,0,0,0.741450851337817,2,0,0.0,11,2,11,15,5,C,B,B+,D,B+,전기전자
3865,2022,두산퓨얼셀,336260,B+,A,3121,72,72,39,39,0,5039,5231,5231,0,82,96.33,6294.42,2.30695289971163,1.24,0.45,0.74,47,6394,0,4.59,65494,0.0,1,-18.1699003670687,-108,0.0,-2.41250174108543,5,3,0.6,0,11,1,9.09090909090909,77000000,68000000,402,45,412,48,460,10.43478261,89.56521739,0.975728155,0.9375,9458477,14.44,1922240858100,65493726,5,5,5,0,0,0,0.509397214918687,2,0,0.0,11,2,12,15,5,C,B,B+,D,B+,전기전자
3866,2023,두산퓨얼셀,336260,A,A,2609,16,16,-85,-85,0,5582,5127,5127,0,82,108.88,6167.2,0.613261786124952,-3.26,-0.81,-1.64,-104,6267,0,3.7,65494,0.0,0,-16.4049983979494,-56,0.0,-1.69369111358668,5,3,0.6,0,12,2,16.6666666666667,77000000,73000000,401,43,417,49,466,10.51502146,89.48497854,0.961630695,0.87755102,7730214,11.8,1519454443200,65493726,5,5,5,0,0,0,0.478800896525962,2,0,0.0,11,2,12,15,5,C,B,B+,D,B+,전기전자
3867,2020,솔루스첨단소재,336370,0,B,2902,304,304,-110,-110,0,3513,4899,2922,1977,40,71.72,7278.27,10.4755341144039,-3.8,-1.65,-5.1,-110,2904,5,8.22,63027,0.02,0,0.0,-93,0.0,0.0,4,3,0.75,0,9,0,0.0,238000000,167000000,177,46,189,48,237,20.25316456,79.74683544,0.936507937,0.958333333,3247491,10.62,1515722508900,30589758,5,5,5,0,0,0,0.582382310984308,2,0,0.0,10,3,11,15,6,B,B,B+,C,B,전기전자
3868,2021,솔루스첨단소재,336370,B,C,3803,50,50,2,119,-117,4894,5222,3023,2199,40,93.72,7535.37,1.31475151196424,3.12,0.02,3.99,118,3005,49,14.32,63027,0.11,0,31.0475534114404,-254,0.09,-9.16078260243962,5,3,0.6,0,8,0,0.0,293000000,213000000,212,51,218,53,271,19.55719557,80.44280443,0.972477064,0.962264151,2351678,7.69,2731665389400,30589758,5,5,5,0,0,0,0.516211941478845,2,0,0.0,11,5,11,15,6,B,B,B+,C,B+,전기전자
3869,2022,솔루스첨단소재,336370,C,B,4183,-497,-497,-472,-113,-359,5429,9181,5454,3727,45,59.14,11899.33,-11.8814248147263,-2.71,-3.82,-2.68,-105,4888,50,3.07,70217,0.33,0,9.99211149092822,-547,0.22,-13.1961763266905,5,3,0.6,0,8,0,0.0,288000000,196000000,220,51,225,57,282,20.21276596,79.78723404,0.977777778,0.894736842,1851636,5.27,1053335850000,35111195,5,5,5,0,0,0,0.628405201916496,2,0,0.0,11,5,11,15,6,B,B,B+,C,B+,전기전자
3870,2023,솔루스첨단소재,336370,B,0,4294,-732,-732,1268,1875,-607,6485,10582,7328,3254,45,61.29,16022.39,-17.0470423847229,43.67,8.0,29.34,1680,6568,50,2.02,70217,0.38,0,2.65359789624671,-235,0.05,-5.1656175699966,5,3,0.6,0,8,0,0.0,256000000,151000000,148,41,153,47,200,23.5,76.5,0.967320261,0.872340426,2156991,6.14,930446667500,35111195,5,5,5,0,0,0,0.620026952598582,3,0,0.0,11,5,12,15,6,B,B,B+,C,B+,전기전자
