회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명,2022년도,2023년도,2024년도,L사회등급,L환경등급,L지배구조등급,L성장성등급,L재무구조등급
화신,10690,C0,B+,B+,B0,B+,B+,B+,A0,운수장비,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,에이
HDC,12630,C0,B+,B+,B+,D0,B+,A0,C0,기타금융,씨,비플러스,비플러스,비플러스,디,비플러스,에이,씨
다우기술,23590,C0,B+,B+,B+,A0,B+,A0,C0,서비스업,씨,비플러스,비플러스,비플러스,에이,비플러스,에이,씨
SBS,34120,C0,B+,B+,B0,B+,B+,B+,D0,서비스업,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,디
세아홀딩스,58650,C0,B+,B+,B0,C0,B0,A0,B+,철강금속,씨,비플러스,비플러스,비,씨,비,에이,비플러스
농심홀딩스,72710,C0,B+,B+,B+,D0,B0,B+,C0,기타금융,씨,비플러스,비플러스,비플러스,디,비,비플러스,씨
선진,136490,C0,B+,B+,B0,B0,B+,B+,A0,음식료품,씨,비플러스,비플러스,비,비,비플러스,비플러스,에이
아세아시멘트,183190,C0,B+,B+,B0,C0,C0,B+,C0,비금속광물,씨,비플러스,비플러스,비,씨,씨,비플러스,씨
JW생명과학,234080,C0,B+,B+,B+,C0,B0,C0,C0,의약품,씨,비플러스,비플러스,비플러스,씨,비,씨,씨
HDC현대산업개발,294870,C0,B+,B+,B0,A0,A0,A0,D0,건설업,씨,비플러스,비플러스,비,에이,에이,에이,디
하이트진로,80,B0,B0,B+,B0,A0,B+,A0,B0,음식료품,비,비,비플러스,비,에이,비플러스,에이,비
하이트진로홀딩스,140,B0,B+,B+,B+,D0,B0,B+,B+,기타금융,비,비플러스,비플러스,비플러스,디,비,비플러스,비플러스
영풍,670,B0,B+,B+,B0,B0,B+,A0,C0,철강금속,비,비플러스,비플러스,비,비,비플러스,에이,씨
세아제강지주,3030,B0,B+,B+,B0,D0,D0,A0,B0,기타금융,비,비플러스,비플러스,비,디,디,에이,비
풍산홀딩스,5810,B0,B+,B+,B0,C0,B+,B0,D0,기타금융,비,비플러스,비플러스,비,씨,비플러스,비,디
